name,category,price_per_kg,season,description
Crop1,Vegetable,89.3,Monsoon,Crop1 is a vegetable suitable for monsoon season.
Crop2,Fruit,59.8,Summer,Crop2 is a fruit suitable for summer season.
Crop3,Cereal,32.52,Monsoon,Crop3 is a cereal suitable for monsoon season.
Crop4,Cereal,149.17,Summer,Crop4 is a cereal suitable for summer season.
Crop5,Vegetable,95.44,Summer,Crop5 is a vegetable suitable for summer season.
Crop6,Cereal,184.44,Winter,Crop6 is a cereal suitable for winter season.
Crop7,Vegetable,35.73,Winter,Crop7 is a vegetable suitable for winter season.
Crop8,Cereal,115.21,All year,Crop8 is a cereal suitable for all year season.
Crop9,Cereal,189.04,Summer,Crop9 is a cereal suitable for summer season.
Crop10,Cereal,173.34,Summer,Crop10 is a cereal suitable for summer season.
Crop11,Vegetable,160.68,Summer,Crop11 is a vegetable suitable for summer season.
Crop12,Fruit,84.49,Summer,Crop12 is a fruit suitable for summer season.
Crop13,Cereal,158.93,Winter,Crop13 is a cereal suitable for winter season.
Crop14,Cereal,42.71,Monsoon,Crop14 is a cereal suitable for monsoon season.
Crop15,Fruit,43.76,All year,Crop15 is a fruit suitable for all year season.
Crop16,Fruit,178.72,Summer,Crop16 is a fruit suitable for summer season.
Crop17,Vegetable,117.31,Winter,Crop17 is a vegetable suitable for winter season.
Crop18,Fruit,58.57,Monsoon,Crop18 is a fruit suitable for monsoon season.
Crop19,Fruit,165.89,Winter,Crop19 is a fruit suitable for winter season.
Crop20,Vegetable,103.79,All year,Crop20 is a vegetable suitable for all year season.
Crop21,Fruit,76.06,Monsoon,Crop21 is a fruit suitable for monsoon season.
Crop22,Vegetable,80.27,Summer,Crop22 is a vegetable suitable for summer season.
Crop23,Vegetable,48.16,Winter,Crop23 is a vegetable suitable for winter season.
Crop24,Fruit,185.64,All year,Crop24 is a fruit suitable for all year season.
Crop25,Fruit,25.2,Summer,Crop25 is a fruit suitable for summer season.
Crop26,Fruit,65.78,Winter,Crop26 is a fruit suitable for winter season.
Crop27,Vegetable,52.76,Monsoon,Crop27 is a vegetable suitable for monsoon season.
Crop28,Fruit,180.49,Monsoon,Crop28 is a fruit suitable for monsoon season.
Crop29,Fruit,43.91,Monsoon,Crop29 is a fruit suitable for monsoon season.
Crop30,Vegetable,45.4,Monsoon,Crop30 is a vegetable suitable for monsoon season.
Crop31,Fruit,94.36,Monsoon,Crop31 is a fruit suitable for monsoon season.
Crop32,Cereal,62.97,All year,Crop32 is a cereal suitable for all year season.
Crop33,Fruit,160.64,All year,Crop33 is a fruit suitable for all year season.
Crop34,Cereal,187.78,Monsoon,Crop34 is a cereal suitable for monsoon season.
Crop35,Vegetable,39.57,Winter,Crop35 is a vegetable suitable for winter season.
Crop36,Cereal,59.03,Winter,Crop36 is a cereal suitable for winter season.
Crop37,Fruit,139.33,Monsoon,Crop37 is a fruit suitable for monsoon season.
Crop38,Cereal,43.24,Winter,Crop38 is a cereal suitable for winter season.
Crop39,Cereal,36.62,All year,Crop39 is a cereal suitable for all year season.
Crop40,Vegetable,174.15,Winter,Crop40 is a vegetable suitable for winter season.
Crop41,Cereal,167.15,Summer,Crop41 is a cereal suitable for summer season.
Crop42,Fruit,127.55,Summer,Crop42 is a fruit suitable for summer season.
Crop43,Vegetable,53.78,All year,Crop43 is a vegetable suitable for all year season.
Crop44,Vegetable,23.12,All year,Crop44 is a vegetable suitable for all year season.
Crop45,Cereal,94.09,All year,Crop45 is a cereal suitable for all year season.
Crop46,Fruit,157.2,All year,Crop46 is a fruit suitable for all year season.
Crop47,Fruit,24.88,All year,Crop47 is a fruit suitable for all year season.
Crop48,Cereal,154.87,Monsoon,Crop48 is a cereal suitable for monsoon season.
Crop49,Cereal,86.97,Winter,Crop49 is a cereal suitable for winter season.
Crop50,Fruit,63.94,Summer,Crop50 is a fruit suitable for summer season.
Crop51,Vegetable,38.27,All year,Crop51 is a vegetable suitable for all year season.
Crop52,Fruit,162.36,All year,Crop52 is a fruit suitable for all year season.
Crop53,Vegetable,123.42,Winter,Crop53 is a vegetable suitable for winter season.
Crop54,Cereal,148.24,Monsoon,Crop54 is a cereal suitable for monsoon season.
Crop55,Vegetable,72.25,Winter,Crop55 is a vegetable suitable for winter season.
Crop56,Vegetable,65.8,Summer,Crop56 is a vegetable suitable for summer season.
Crop57,Vegetable,119.56,All year,Crop57 is a vegetable suitable for all year season.
Crop58,Cereal,89.99,Winter,Crop58 is a cereal suitable for winter season.
Crop59,Cereal,129.2,Summer,Crop59 is a cereal suitable for summer season.
Crop60,Fruit,118.97,Winter,Crop60 is a fruit suitable for winter season.
Crop61,Vegetable,104.58,Summer,Crop61 is a vegetable suitable for summer season.
Crop62,Fruit,114.9,Winter,Crop62 is a fruit suitable for winter season.
Crop63,Cereal,26.35,Summer,Crop63 is a cereal suitable for summer season.
Crop64,Fruit,59.13,Winter,Crop64 is a fruit suitable for winter season.
